sample_id	tissue	color
GSM23227.CEL	kidney_like	"#5A0007"
1229968152.CEL	mammary_like	"#1CE6FF"
GSM133626.CEL	kidney_like	"#5A0007"
GSM47465.CEL	lung_like	"#008941"
GSM124909.CEL	lung_like	"#008941"
GSM47464.CEL	lung_like	"#008941"
GSM124908.CEL	lung_like	"#008941"
GSM47473.CEL	lung_like	"#008941"
GSM162894.CEL	lung_like	"#008941"
GSM47459.CEL	lung_like	"#008941"
GSM162896.CEL	lung_like	"#008941"
GSM94306.CEL	lung_like	"#008941"
GSM133568.CEL	lung_like	"#008941"
GSM47460.CEL	lung_like	"#008941"
GSM47469.CEL	lung_like	"#008941"
GSM124906.CEL	lung_like	"#008941"
GSM162890.CEL	lung_like	"#008941"
GSM124992.CEL	lung_like	"#008941"
GSM47466.CEL	lung_like	"#008941"
GSM124907.CEL	lung_like	"#008941"
GSM47462.CEL	lung_like	"#008941"
GSM47471.CEL	lung_like	"#008941"
GSM47463.CEL	lung_like	"#008941"
GSM47467.CEL	lung_like	"#008941"
GSM162892.CEL	lung_like	"#008941"
GSM47472.CEL	lung_like	"#008941"
GSM47468.CEL	lung_like	"#008941"
GSM124993.CEL	lung_like	"#008941"
GSM47470.CEL	lung_like	"#008941"
GSM162891.CEL	lung_like	"#008941"
GSM162889.CEL	lung_like	"#008941"
GSM162895.CEL	lung_like	"#008941"
GSM162893.CEL	lung_like	"#008941"
GSM47461.CEL	lung_like	"#008941"
GSM94323.CEL	lung_like	"#008941"
GSM106206.CEL	bone_like	"#000000"
GSM106189.CEL	bone_like	"#000000"
GSM106226.CEL	bone_like	"#000000"
331050346.CEL	bone_like	"#000000"
GSM106220.CEL	bone_like	"#000000"
GSM106181.CEL	bone_like	"#000000"
331050232.CEL	bone_like	"#000000"
GSM106209.CEL	bone_like	"#000000"
GSM106194.CEL	bone_like	"#000000"
GSM106215.CEL	bone_like	"#000000"
GSM106225.CEL	bone_like	"#000000"
GSM106179.CEL	bone_like	"#000000"
GSM9835.CEL	bone_like	"#000000"
GSM9654.CEL	bone_like	"#000000"
331051315.CEL	bone_like	"#000000"
GSM106192.CEL	bone_like	"#000000"
331051372.CEL	bone_like	"#000000"
GSM9864.CEL	bone_like	"#000000"
GSM106175.CEL	bone_like	"#000000"
GSM106210.CEL	blood_like	"#A1C299"
GSM106184.CEL	bone_like	"#000000"
331051657.CEL	bone_like	"#000000"
GSM106207.CEL	bone_like	"#000000"
GSM106203.CEL	bone_like	"#000000"
331455923.CEL	bone_like	"#000000"
331050517.CEL	bone_like	"#000000"
GSM106171.CEL	bone_like	"#000000"
331051087.CEL	bone_like	"#000000"
GSM106191.CEL	bone_like	"#000000"
GSM106177.CEL	bone_like	"#000000"
GSM106197.CEL	bone_like	"#000000"
GSM106174.CEL	bone_like	"#000000"
GSM106218.CEL	bone_like	"#000000"
GSM106221.CEL	bone_like	"#000000"
GSM106223.CEL	bone_like	"#000000"
GSM106167.CEL	bone_like	"#000000"
GSM106168.CEL	bone_like	"#000000"
GSM9693.CEL	bone_like	"#000000"
GSM106190.CEL	bone_like	"#000000"
GSM106214.CEL	bone_like	"#000000"
GSM9700.CEL	bone_like	"#000000"
GSM106216.CEL	bone_like	"#000000"
GSM106208.CEL	bone_like	"#000000"
331050688.CEL	bone_like	"#000000"
GSM106222.CEL	bone_like	"#000000"
GSM106201.CEL	bone_like	"#000000"
331051429.CEL	bone_like	"#000000"
GSM106213.CEL	bone_like	"#000000"
GSM9694.CEL	bone_like	"#000000"
GSM9715.CEL	bone_like	"#000000"
GSM9817.CEL	bone_like	"#000000"
GSM106224.CEL	bone_like	"#000000"
GSM9699.CEL	bone_like	"#000000"
GSM106196.CEL	bone_like	"#000000"
GSM9814.CEL	bone_like	"#000000"
331051144.CEL	bone_like	"#000000"
GSM106172.CEL	bone_like	"#000000"
GSM106199.CEL	bone_like	"#000000"
331051771.CEL	bone_like	"#000000"
331456104.CEL	bone_like	"#000000"
331051201.CEL	bone_like	"#000000"
